-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  49.479   Longitude 11.1906 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 425.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS50M,ALLSKY_SFC_SW_DWN,WD50M,T2M
2023,1,1,0,96.85,8.9,0.0,219.66,8.1
2023,1,1,1,96.87,8.97,0.0,222.04,7.92
2023,1,1,2,96.9,8.96,0.0,222.24,7.72
2023,1,1,3,96.92,9.09,0.0,222.49,7.4
2023,1,1,4,96.94,9.34,0.0,221.27,6.7
2023,1,1,5,96.95,9.55,0.0,219.16,6.24
2023,1,1,6,96.98,9.57,0.0,217.7,5.85
2023,1,1,7,97.01,9.55,0.0,216.95,5.51
2023,1,1,8,97.05,9.44,14.26,216.89,5.75
2023,1,1,9,97.09,8.61,77.68,217.18,7.7
2023,1,1,10,97.12,7.45,162.04,218.44,9.23
2023,1,1,11,97.12,6.41,219.02,219.06,10.62
2023,1,1,12,97.1,5.68,219.38,217.91,11.7
2023,1,1,13,97.09,5.43,202.18,216.34,12.23
2023,1,1,14,97.08,5.69,120.29,213.97,11.73
2023,1,1,15,97.09,6.22,54.86,210.43,9.91
2023,1,1,16,97.08,6.47,0.0,207.96,8.16
2023,1,1,17,97.07,6.93,0.0,193.69,8.09
2023,1,1,18,97.05,8.26,0.0,181.52,8.46
2023,1,1,19,97.04,9.34,0.0,178.23,9.26
2023,1,1,20,97.03,9.6,0.0,180.56,9.76
2023,1,1,21,97.0,9.75,0.0,185.38,9.94
2023,1,1,22,96.97,9.73,0.0,187.57,10.12
2023,1,1,23,96.95,9.44,0.0,186.8,9.97
2023,1,2,0,96.9,8.79,0.0,188.02,9.6
2023,1,2,1,96.87,7.98,0.0,191.93,9.17
2023,1,2,2,96.85,7.41,0.0,194.67,8.68
2023,1,2,3,96.82,7.06,0.0,198.11,8.12
2023,1,2,4,96.8,7.01,0.0,204.51,7.69
2023,1,2,5,96.8,7.05,0.0,208.58,7.36
2023,1,2,6,96.81,7.25,0.0,214.1,6.99
2023,1,2,7,96.84,7.34,0.0,221.46,6.63
2023,1,2,8,96.86,7.13,10.85,220.55,6.48
2023,1,2,9,96.9,6.68,54.33,218.4,8.02
2023,1,2,10,96.93,5.77,119.35,220.44,9.46
2023,1,2,11,96.93,5.2,186.62,227.92,10.81
2023,1,2,12,96.93,5.32,201.99,239.14,12.2
2023,1,2,13,96.92,6.57,182.8,248.44,12.98
2023,1,2,14,96.95,8.22,118.17,257.99,12.53
2023,1,2,15,97.0,9.38,46.62,264.02,11.04
2023,1,2,16,97.05,9.26,6.99,263.02,9.53
2023,1,2,17,97.1,8.51,0.0,257.86,9.17
2023,1,2,18,97.15,8.05,0.0,252.09,8.68
2023,1,2,19,97.2,8.91,0.0,255.99,8.65
2023,1,2,20,97.26,8.58,0.0,262.78,8.37
2023,1,2,21,97.33,8.37,0.0,272.46,7.91
2023,1,2,22,97.4,8.53,0.0,283.78,7.6
2023,1,2,23,97.47,7.64,0.0,290.29,6.92
2023,1,3,0,97.53,6.65,0.0,290.84,6.34
2023,1,3,1,97.56,5.86,0.0,287.93,5.87
2023,1,3,2,97.6,5.39,0.0,283.31,5.5
2023,1,3,3,97.62,5.1,0.0,279.88,5.26
2023,1,3,4,97.64,4.89,0.0,278.36,5.08
2023,1,3,5,97.66,4.62,0.0,277.39,4.93
2023,1,3,6,97.7,4.31,0.0,275.19,4.81
